index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
78de5a4ec6f22913bfae03c4d0a5bd42,2026-03-04T14:30:57Z,'landslide',www.thegatewaypundit.com,en,0.7,Former New York Yankees Star Mark Teixeira Wins Texas GOP Primary in a Landslide,"Former Texas Rangers and New York Yankees star Mark Teixeira won his Republican primary race in Texas on Tuesday night.
The post Former New York Yankees Star Mark Teixeira Wins Texas GOP Primary in a Landslide appeared first on The Gateway Pundit.",https://www.thegatewaypundit.com/2026/03/former-new-york-yankees-star-mark-teixeira-wins/,https://www.thegatewaypundit.com/wp-content/uploads/2026/03/mark-tex_16x9-1200x630.png,,"Mark Teixeira with President Trump via Mark Teixeira’s X
Former Texas Rangers and New York Yankees star Mark Teixeira won his Republican primary race in Texas on Tuesday night.
Teixeria, who receiv… [+2129 chars]",,"Der frühere Star der New York Yankees, Mark Teixeira, gewinnt die GOP-Vorwahl in Texas mit einem Erdrutschsieg. Der frühere Star der Texas Rangers und New York Yankees, Mark Teixeira, gewann am Dienstagabend sein republikanisches Vorwahlrennen in Texas.
Der Beitrag Der ehemalige New York Yankees-Star Mark Teixeira gewinnt die GOP-Vorwahl in Texas mit einem Erdrutschsieg erschien zuerst auf The Gateway Pundit.","Former New York Yankees Star Mark Teixeira Wins Texas GOP Primary in a Landslide. Former Texas Rangers and New York Yankees star Mark Teixeira won his Republican primary race in Texas on Tuesday night.
The post Former New York Yankees Star Mark Teixeira Wins Texas GOP Primary in a Landslide appeared first on The Gateway Pundit.","Novi Eboraci Yankees Star Mark Teixeira vincit Texas GOP Primarium in Landslide. Prior Texas Rangers et New York Yankees stella Mark Teixeira vicit suum republicanum genus primarium in Texas nocte Martis.
Novus ordo Yankees Star Mark Teixeira vincit Texas GOP Primarium in Landslide primum apparuit in porta Pundit.",2026-03-08 02:00:21+00:00
ecdad8ef61a52d5bfaaa08590dcddd74,2026-03-05T13:40:20Z,'landslide',consent.yahoo.com,en,0.7,This Highly-Underrated Investment Pro is Quietly Beating the Market By a Landslide,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7b5c2fc5-1216-4ca7-a50c-62c423ddd17a,,,"If you click 'Accept all', we and our partners, including 246 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",,Dieser stark unterschätzte Anlageprofi schlägt den Markt lautlos mit einem Erdrutschsieg. Keiner,This Highly-Underrated Investment Pro is Quietly Beating the Market By a Landslide. None,Hoc multum-underrated Investment Pro est quiete verberans Fori Landslide. Nullus,2026-03-08 02:00:21+00:00
fefdbbb5e8cab1a726dccb25bd817d4f,2026-03-04T19:32:00Z,'landslide',www.thestar.com.my,en,0.9,"Landslide kills over 200 people at Congo's Rubaya mine, mines ministry says","KINSHASA, ⁠March 4 (Reuters) - ⁠More than 200 ‌people including around 70 children died ​on Tuesday in ⁠a ⁠landslide triggered by heavy ⁠rains ‌at the ⁠Rubaya coltan mine in ​eastern ‌Democratic Republic of ⁠Congo, ​the mines ministry said ⁠on Wednesday. Read…",https://www.thestar.com.my/news/world/2026/03/05/landslide-kills-over-200-people-at-congo039s-rubaya-mine-mines-ministry-says,https://cdn.thestar.com.my/Themes/img/newTsol_logo_socmedia.png,,"KINSHASA, March 4 (Reuters) - More than 200 people including around 70 children died on Tuesday in a landslide triggered by heavy rains at the Rubaya coltan mine in eastern Democratic Republic of Con… [+212 chars]",,"Nach Angaben des Bergbauministeriums kommen bei einem Erdrutsch in der Rubaya-Mine im Kongo über 200 Menschen ums Leben. KINSHASA, 4. März (Reuters) – Mehr als 200 Menschen, darunter etwa 70 Kinder, starben am Dienstag bei einem durch heftige Regenfälle ausgelösten Erdrutsch in der Coltan-Mine Rubaya im Osten der Demokratischen Republik Kongo, teilte das Minenministerium mit ⁠am Mittwoch. Lesen…","Landslide kills over 200 people at Congo's Rubaya mine, mines ministry says. KINSHASA, ⁠March 4 (Reuters) - ⁠More than 200 ‌people including around 70 children died ​on Tuesday in ⁠a ⁠landslide triggered by heavy ⁠rains ‌at the ⁠Rubaya coltan mine in ​eastern ‌Democratic Republic of ⁠Congo, ​the mines ministry said ⁠on Wednesday. Read…","LAPSUS necat super CC homines in mea Rubaya Congi, ministeria fodinarum dicit. KINSHASA, ⁠March 4 (Reuters) - Plus quam 200 homines inter circiter 70 liberos mortui die Martis in a landslide urgentibus gravibus imbribus in Rubaya coltan in orientali Remocraticae Reipublicae ⁠Congo, fodinarum ministerium die mercurii dictum est. Lege…",2026-03-08 02:00:21+00:00
da89859a31d99a11bb220106c8de7716,2026-03-04T20:12:45Z,'landslide',timesofindia.indiatimes.com,en,0.9,"Nitish Kumar heads for Rajya Sabha, paves way for BJP CM in Bihar","India News: NEW DELHI/PATNA: Less than four months after Nitish Kumar, along with PM Modi, led NDA to a landslide win in the Bihar assembly elections in Nov and t.",https://timesofindia.indiatimes.com/india/nitish-kumar-heads-for-rajya-sabha-paves-way-for-bjp-cm-in-bihar/articleshow/129048390.cms,"https://static.toiimg.com/thumb/msid-129048633,width-1280,height-720,imgsize-1190988,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",,"<ul><li>News</li>
<li>India News</li>
<li>Nitish Kumar heads for Rajya Sabha, paves way for BJP CM in Bihar</li></ul>
Follow Us On Social Media
Copyright © 2026 Bennett, Coleman &amp; Co. Ltd. Al… [+63 chars]",,Nitish Kumar geht zu Rajya Sabha und ebnet den Weg für BJP CM in Bihar. Nachrichten aus Indien: NEU-DELHI/PATNA: Weniger als vier Monate nachdem Nitish Kumar zusammen mit Premierminister Modi die NDA zu einem Erdrutschsieg bei den Parlamentswahlen in Bihar im November geführt hatte.,"Nitish Kumar heads for Rajya Sabha, paves way for BJP CM in Bihar. India News: NEW DELHI/PATNA: Less than four months after Nitish Kumar, along with PM Modi, led NDA to a landslide win in the Bihar assembly elections in Nov and t.","Nitish Kumar capita pro Rajya Sabha, BJP CM in Bihar viam sternit. Indiae Nuntii: NEW DELHI/PATNA: Minus quam quattuor menses post Kumar Nitish cum PM Modi NDA in comitiis in Novo et t comitiis in Biharensi lapsu vincendum duxit.",2026-03-08 02:00:21+00:00
ea34628bc2d0965fb0d42311d1696aff,2026-03-04T21:33:03Z,'landslide rain',japantoday.com,en,0.9,"Landslide kills over 200 people at Congo's Rubaya mine, mines ministry says","More than 200 people died on Tuesday in a landslide triggered ‌by heavy rains at the Rubaya coltan mine in eastern Democratic Republic of Congo, the country's mines ministry ‌said on Wednesday. A senior official from ⁠the AFC/M23 rebel group, which controls ⁠…",https://japantoday.com/category/world/landslide-kills-over-200-people-at-congo%27s-rubaya-mine-mines-ministry-says1,,,"More than 200 people died on Tuesday in a landslide triggered by heavy rains at the Rubaya coltan mine in eastern Democratic Republic of Congo, the country's mines ministry said on Wednesday.
A seni… [+1235 chars]",,"Nach Angaben des Bergbauministeriums kommen bei einem Erdrutsch in der Rubaya-Mine im Kongo über 200 Menschen ums Leben. Mehr als 200 Menschen starben am Dienstag bei einem Erdrutsch, der durch heftige Regenfälle in der Coltan-Mine Rubaya im Osten der Demokratischen Republik Kongo ausgelöst wurde, teilte das Bergbauministerium des Landes am Mittwoch mit. Ein hochrangiger Beamter der Rebellengruppe AFC/M23, die …","Landslide kills over 200 people at Congo's Rubaya mine, mines ministry says. More than 200 people died on Tuesday in a landslide triggered ‌by heavy rains at the Rubaya coltan mine in eastern Democratic Republic of Congo, the country's mines ministry ‌said on Wednesday. A senior official from ⁠the AFC/M23 rebel group, which controls ⁠…","LAPSUS necat super CC homines in mea Congo Rubaya, fodinae ministerium dicit. Plus quam CC homines die Martis mortui sunt in prolapsione Urguet imbribus imbribus in mine Rubaya Coltan in Respublica Democratica orientali Congo, fodinae ministerium patriae die Mercurii dixit. A senior officialis ab AFC/M23 coetus rebellis, quae …",2026-03-08 02:00:21+00:00
edc7f4b567c4cd8280ec25c95fc6e2c5,2026-03-04T23:42:20Z,'landslide',www.aljazeera.com,en,0.9,More than 200 killed in landslide at DRC coltan mine,Congo’s Mines Ministry said about 70 children were among the victims.,https://www.aljazeera.com/news/2026/3/4/more-than-200-killed-in-landslide-at-drc-coltan-mine,https://www.aljazeera.com/wp-content/uploads/2026/03/getty_69a8b025a8-1772662821.jpg?resize=1920%2C1440,,"A landslide triggered by heavy rains has killed more than 200 people at the Rubaya coltan mine in the eastern Democratic Republic of the Congo, authorities said.
DRCs Ministry of Mines said on Wedne… [+2058 chars]",,Mehr als 200 Tote bei Erdrutsch in der Coltan-Mine der Demokratischen Republik Kongo. Nach Angaben des kongolesischen Bergbauministeriums seien etwa 70 Kinder unter den Opfern gewesen.,More than 200 killed in landslide at DRC coltan mine. Congo’s Mines Ministry said about 70 children were among the victims.,Plus quam 200 in LAPSA in mea coltan DRC occisus est. Ministerium Mines Congo dixit circiter LXX liberos inter victimas fuisse.,2026-03-08 02:00:21+00:00
0b286805c300862bdfdbeb1199cbce7a,2026-03-05T07:12:09Z,'landslide',slashdot.org,en,0.9,More than 200 killed in landslide at DRC coltan mine - Al Jazeera,More than 200 killed in landslide at DRC coltan mineAl Jazeera At least six dead after a mine shaft collapses in eastern DR Congoafricanews.com Majority of Media Claim Over 200 Dead in Congo Mine CollapseDevdiscourse Landslide kills over 200 people at Congo's…,https://slashdot.org/firehose.pl?op=view&amp;id=180908780,,http://web.archive.org/web/20160119174443/http://slashdot.org/firehose.pl?op=view,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,,"Mehr als 200 Tote bei Erdrutsch in Coltan-Mine der Demokratischen Republik Kongo – Al Jazeera. Mehr als 200 Tote bei Erdrutsch in der Coltan-Mine der Demokratischen Republik KongoAl Jazeera Mindestens sechs Tote nach Einsturz eines Minenschachts im Osten der Demokratischen Republik Kongo Congoafricanews.com Mehrheit der Medien behauptet, über 200 Tote bei Mineneinsturz im KongoDevdiscourse Erdrutsch tötet über 200 Menschen im Kongo…",More than 200 killed in landslide at DRC coltan mine - Al Jazeera. More than 200 killed in landslide at DRC coltan mineAl Jazeera At least six dead after a mine shaft collapses in eastern DR Congoafricanews.com Majority of Media Claim Over 200 Dead in Congo Mine CollapseDevdiscourse Landslide kills over 200 people at Congo's…,Plus quam 200 interfecti in ruina mea coltan DRC - Al Jazeera. Plus quam 200 occisi in LAPSA apud DRC coltan mineAl Jazeera Saltem sex mortui post cuniculum meum concidit in DR Congoafricanews.com Maioritas Mediae Claim Plus 200 Mortuus in Congo Meo CollapseDevdiscourse Landslide super 200 homines in Congo ... necat.,2026-03-08 02:00:21+00:00
4d23da39a12ce247e4cf9275bd02ba6d,2026-03-05T08:06:01Z,'landslide',www.rt.com,en,0.9,Children among 200 dead in mine collapse,"A deadly landslide hits a coltan mine in DR Congo, killing at least 200 people Read Full Article at RT.com",https://www.rt.com/africa/633839-fatal-mine-collapse-hits-drc/,https://mf.b37mrtl.ru/files/2026.03/article/69a92f1f2030276a7e733f65.jpg,http://web.archive.org/web/20260305192950/https://www.rt.com/africa/633839-fatal-mine-collapse-hits-drc/,"More than 200 people have been killed, including around 70 children, in a major landslide at the Rubaya coltan mine in eastern Democratic Republic of the Congo (DR Congo), officials reported on Wedne… [+3422 chars]",,Kinder unter 200 Toten bei Mineneinsturz. Ein tödlicher Erdrutsch erschüttert eine Coltan-Mine in der DR Kongo und tötet mindestens 200 Menschen. Den vollständigen Artikel finden Sie auf RT.com,"Children among 200 dead in mine collapse. A deadly landslide hits a coltan mine in DR Congo, killing at least 200 people Read Full Article at RT.com","Pueri apud 200 mortuos in mea ruina. Lapsus letalis foculum coltani mei in DR Congo percusserit, saltem CC homines in RT.com Full Articulum legit.",2026-03-08 02:00:21+00:00
e7a1c4d743e8331299d83e4a4af43ef1,2026-03-05T09:28:34Z,'landslide',theconversation.com,en,0.9,Politics with Michelle Grattan: South Australian election special,Labor is expected to be returned in power in a landslide. But the election is also the first test of One Nation’s ability to turn its surging popularity into seats.,https://theconversation.com/politics-with-michelle-grattan-south-australian-election-special-277502,https://images.theconversation.com/files/721921/original/file-20260304-57-yykpla.jpg?ixlib=rb-4.1.0&rect=0%2C1316%2C7886%2C3943&q=45&auto=format&w=1356&h=668&fit=crop,,"South Australians are heading to the ballot box on March 21. If polls are correct, Peter Malinauskas’s Labor government will win in a landslide.

Polling also indicates One Nation has pulled ahead of… [+6909 chars]",,"Politik mit Michelle Grattan: Wahlspecial für Südaustralien. Es wird erwartet, dass Labour durch einen Erdrutsch wieder an die Macht kommt. Aber die Wahl ist auch der erste Test für die Fähigkeit von One Nation, seine steigende Popularität in Sitze umzuwandeln.",Politics with Michelle Grattan: South Australian election special. Labor is expected to be returned in power in a landslide. But the election is also the first test of One Nation’s ability to turn its surging popularity into seats.,Politica cum Michelle Grattan: Electio specialis Australiae Australis. Labor expectatur in prolapsione potentiae restituendus. Sed electio etiam est prima probatio Facultatis unius Nationis in subsellia vertere popularitatem suam.,2026-03-08 02:00:21+00:00
de15752fecdb65c97a1c1231f1e27301,2026-03-05T11:43:30Z,'landslide',financialpost.com,en,0.9,Congo Says Many Dead After Landslide at Rebel-Held Tantalum Mine,The Democratic Republic of Congo’s mines ministry said a landslide in a major tantalum mining area occupied by rebels left many dead on Tuesday.,https://financialpost.com/pmn/business-pmn/congo-says-many-dead-after-landslide-at-rebel-held-tantalum-mine,,,"(Bloomberg) The Democratic Republic of Congos mines ministry said a landslide in a major tantalum mining area occupied by rebels left many dead on Tuesday.
THIS CONTENT IS RESERVED FOR SUBSCRIBERS O… [+4801 chars]",,"Im Kongo gibt es viele Tote nach Erdrutsch in der von Rebellen kontrollierten Tantalmine. Das Bergbauministerium der Demokratischen Republik Kongo sagte, ein Erdrutsch in einem von Rebellen besetzten großen Tantalbergbaugebiet habe am Dienstag viele Todesopfer gefordert.",Congo Says Many Dead After Landslide at Rebel-Held Tantalum Mine. The Democratic Republic of Congo’s mines ministry said a landslide in a major tantalum mining area occupied by rebels left many dead on Tuesday.,"Congo Multi Mortui Post Landslide apud Rebel-Hel, Tantalum Meum. Ministerium minerarum Democraticae Reipublicae Congoriae dixit in regione fodiendarum maioris tantalum a rebellibus occupatum multos mortuos die Martis reliquerunt.",2026-03-08 02:00:21+00:00
7eca1870dead649a501d98744b6524cf,2026-03-05T12:03:29Z,'landslide death',www.bbc.com,en,0.9,DR Congo government says 200 killed after landslide at rebel-held mine,"The M23, which controls the coltan-rich area, has not commented and the death toll is hard to verify.",https://www.bbc.com/news/articles/c7955g70jgjo,https://ichef.bbci.co.uk/news/1024/branded_news/d086/live/3565c340-1883-11f1-aff7-a32b6621d3cc.jpg,,"More than 200 people, including 70 children, have been killed after a landslide caused a collapse in a mining area in the east of the Democratic Republic of Congo, the government says.",,"Nach Angaben der Regierung der DR Kongo sind bei einem Erdrutsch in einer von Rebellen kontrollierten Mine 200 Menschen getötet worden. Die M23, die das Coltan-reiche Gebiet kontrolliert, hat sich nicht geäußert und die Zahl der Todesopfer ist schwer zu überprüfen.","DR Congo government says 200 killed after landslide at rebel-held mine. The M23, which controls the coltan-rich area, has not commented and the death toll is hard to verify.","DR Congo imperium dicit 200 occisos post lapsum apud rebellem habitum meum. M23, quae regio coltano-divitis regitur, annotavit et vectigal mortiferum difficile est cognoscere.",2026-03-08 02:00:21+00:00
